identifier,en,de,fr,es,cn,note
#,subscriptions_window.cpp / subscriptions_bar.cpp - status-suffix format strings.,,,,,
WE_SUBS_STATUS_ACTIVE_FMT, - Active (ends in %s), - Aktiv (endet in %s), - Actif (se termine dans %s), - Activo (termina en %s), - 进行中（%s后结束）,
WE_SUBS_STATUS_IN_FMT, - in %s, - in %s, - dans %s, - en %s, - %s后,
WE_BAR_STATUS_ACTIVE_FMT,Active - ends in %s,Aktiv - endet in %s,Actif - se termine dans %s,Activo - termina en %s,进行中 - %s后结束,
WE_BAR_STATUS_IN_FMT,in %s,in %s,dans %s,en %s,%s后,
#,subscriptions_notification.cpp - toast popup title text.,,,,,
WE_NOTIFY_NOW_ACTIVE,Now active!,Jetzt aktiv!,Actif maintenant !,¡Activo ahora!,现已开始！,
WE_NOTIFY_STARTING_IN_FMT,Starting in %s,Beginnt in %s,Commence dans %s,Comienza en %s,%s后开始,
WE_NOTIFY_REPORTED_ACTIVE,Reported active!,Als aktiv gemeldet!,Signalé actif !,¡Reportado como activo!,已上报为活跃！,
WE_NOTIFY_REPORTED_BY_FMT,Reported by %s,Gemeldet von %s,Signalé par %s,Reportado por %s,由%s上报,
#,subscriptions_window.cpp / subscriptions_bar.cpp / subscriptions_notification.cpp / addon_options_helpers.cpp - shared right-click menu entries.,,,,,
WE_SUBS_MARK_DONE_TODAY,Mark done for today,Heute als erledigt markieren,Marquer comme fait aujourd'hui,Marcar como hecho hoy,标记为今日已完成,
WE_SUBS_EDIT_SUBSCRIPTIONS,Edit Subscriptions,Abos bearbeiten,Modifier les abonnements,Editar suscripciones,编辑订阅,
#,Title bar text for the addon's three player-facing windows.,,,,,
WE_SUBS_WINDOW_TITLE,World Events - Subscriptions,World Events - Abos,World Events - Abonnements,World Events - Suscripciones,世界事件 - 订阅列表,
WE_LIVE_REPORTS_WINDOW_TITLE,World Events - Live Reports,World Events - Live-Meldungen,World Events - Signalements en direct,World Events - Reportes en vivo,世界事件 - 实时上报,
WE_EDIT_SUBS_WINDOW_TITLE,World Events - Edit Subscriptions,World Events - Abos bearbeiten,World Events - Modifier les abonnements,World Events - Editar suscripciones,世界事件 - 编辑订阅,
#,subscriptions_window.cpp - watchlist empty states and row hints.,,,,,
WE_SUBS_EMPTY_ACTIVE,Nothing upcoming - everything subscribed is currently active.,Nichts Bevorstehendes - alles Abonnierte ist derzeit aktiv.,Rien à venir - tout ce qui est abonné est actuellement actif.,Nada próximo: todo lo suscrito está activo en este momento.,没有即将到来的事件，所有已订阅事件正在进行中。,
WE_SUBS_EMPTY_DONE,Nothing to show - everything subscribed is already done today.,Nichts anzuzeigen - alles Abonnierte ist heute bereits erledigt.,Rien à afficher - tout ce qui est abonné est déjà fait aujourd'hui.,Nada que mostrar: todo lo suscrito ya está hecho hoy.,无内容可显示，所有订阅事件今日均已完成。,
WE_SUBS_EMPTY_NONE,"No subscribed events yet. Check the box next to an event's name in
the options panel or Edit Subscriptions window to add it here.","Noch keine abonnierten Events. Aktiviere das Kästchen neben einem
Event-Namen im Optionsfenster oder im Fenster ""Abos bearbeiten"",
um es hier hinzuzufügen.","Aucun événement abonné pour l'instant. Cochez la case à côté du nom d'un
événement dans le panneau d'options ou la fenêtre Modifier les abonnements pour l'ajouter ici.","Aún no hay eventos suscritos. Marca la casilla junto al nombre de un
evento en el panel de opciones o en la ventana Editar suscripciones para añadirlo aquí.",尚未订阅任何事件。在设置面板或编辑订阅窗口勾选事件名称旁的复选框，即可添加至此。,
WE_SUBS_HINT_CLICK,Click a row to copy its waypoint code.,"Klicke eine Zeile an, um deren Wegpunkt-Code zu kopieren.",Cliquez sur une ligne pour copier son code de point de passage.,Haz clic en una fila para copiar su código de punto de acceso.,点击条目复制传送点代码。,
WE_SUBS_HINT_RIGHT_CLICK,Right-click a row to mark it done for today.,"Rechtsklick auf eine Zeile, um sie als heute erledigt zu markieren.",Clic droit sur une ligne pour la marquer comme faite aujourd'hui.,Haz clic derecho en una fila para marcarla como hecha hoy.,右键点击条目可将其标记为今日已完成。,
#,subscriptions_edit_window.cpp - Basic & Cyclic tab (shares WE_OPT_SEARCH_LABEL/WE_OPT_BASIC_EVENTS/WE_OPT_CYCLIC_EVENTS with addon_options.cpp).,,,,,
WE_EDIT_TAB_BASIC_CYCLIC,Basic & Cyclic,Normal & Zyklisch,Normal & Cyclique,Normal y cíclico,基础与循环,
WE_EDIT_SUBSCRIBE_ALL,Subscribe all,Alle abonnieren,Tout abonner,Suscribir todo,全部订阅,
WE_EDIT_DONE_TODAY,Done for today,Heute erledigt,Fait aujourd'hui,Hecho hoy,今日已完成,
#,maprender.cpp / cyclicrender.cpp - shared map-hover status format strings for Basic/Cyclic events.,,,,,
WE_TIP_MAP_ACTIVE_FMT,%s - Active (ends in %s),%s - Aktiv (endet in %s),%s - Actif (se termine dans %s),%s - Activo (termina en %s),%s - 进行中（%s后结束）,
WE_TIP_MAP_UPCOMING_FMT,%s - in %s,%s - in %s,%s - dans %s,%s - en %s,%s - %s后开始,
#,ws_debug_window.cpp - WS connection log viewer. TX/RX log-direction tags stay as-is as a fixed protocol vocabulary.,,,,,
WE_WSDEBUG_TITLE,World Events - WS Debug Log,World Events - WS Debug Log,World Events - Journal de débogage WS,World Events - Registro de depuración WS,世界事件‑WebSocket调试日志,
WE_WSDEBUG_CONNECTED,Connected,Verbunden,Connecté,Conectado,已连接,
WE_WSDEBUG_CONNECTING,Connecting...,Verbinde...,Connexion...,Conectando...,正在连接…,
WE_WSDEBUG_DISCONNECTED,Disconnected,Getrennt,Déconnecté,Desconectado,已断开,
WE_WSDEBUG_SERVER,Server:,Server:,Serveur :,Servidor:,服务器：,
WE_WSDEBUG_RESETS_ON_RELOAD,This window resets on reload - see Nexus's log (WorldEvents-WS) too.,Dieses Fenster wird beim Neuladen zurückgesetzt – siehe auch Nexus' Log (WorldEvents-WS).,Cette fenêtre se réinitialise au rechargement - voir aussi le journal de Nexus (WorldEvents-WS).,Esta ventana se restablece al recargar; consulta también el registro de Nexus (WorldEvents-WS).,重载插件时窗口日志将清空，也可查看Nexus日志频道WorldEvents‑WS。,
WE_WSDEBUG_AUTOSCROLL,Auto-scroll,Auto scrollen,Défilement auto,Desplazamiento automático,自动滚动,
WE_WSDEBUG_CLEAR,Clear,Leeren,Effacer,Borrar,清空,
WE_WSDEBUG_FILTER_ALL,All,Alle,Tout,Todo,全部,
WE_WSDEBUG_FILTER_INFO,Info,Info,Info,Info,信息,
WE_WSDEBUG_FILTER_ERROR,Error,Fehler,Erreur,Error,错误,
WE_WSDEBUG_SEARCH_HINT,Search text...,Durchsuche Text...,Rechercher du texte...,Buscar texto...,搜索文本…,
WE_WSDEBUG_COL_ELAPSED,T+,T+,T+,T+,T+,
WE_WSDEBUG_COL_DIR,Dir,Dir,Dir,Dir,方向,
WE_WSDEBUG_COL_MESSAGE,Message,Nachricht,Message,Mensaje,消息,
#,addon_options_helpers.cpp / subscriptions_edit_window.cpp - fallback label for an empty user-entered name.,,,,,
WE_UNNAMED,(unnamed),(unbenannt),(sans nom),(sin nombre),（未命名）,
#,addon_options_helpers.cpp - duplicate-name warning tag next to a Cyclic Group slot's name.,,,,,
WE_DUPLICATE_TAG,[duplicate],[Duplikat],[doublon],[duplicado],[重复],
#,addon_options_helpers.cpp - DrawNameAndContextMenu's shared right-click menu,,,,,
WE_ROW_NOTIFY_SUB_TOAST_SOUND,Set to: Subscribed + Toast + Sound,Setzen auf: Abonniert + Benachrichtigung + Ton,Définir sur : Abonné + Notification + Son,Establecer en: Suscrito + Notificación + Sonido,设置为：已订阅+弹窗+音效,
WE_ROW_NOTIFY_SUB_TOAST,Set to: Subscribed + Toast,Setzen auf: Abonniert + Benachrichtigung,Définir sur : Abonné + Notification,Establecer en: Suscrito + Notificación,设置为：已订阅+弹窗通知,
WE_ROW_NOTIFY_SUB_ONLY,Set to: Subscribed only,Setzen auf: Nur abonniert,Définir sur : Abonné uniquement,Establecer en: Solo suscrito,设置为：仅订阅,
WE_ROW_NOTIFY_UNSUBSCRIBED,Set to: Unsubscribed,Setzen auf: Nicht abonniert,Définir sur : Non abonné,Establecer en: No suscrito,设置为：取消订阅,
WE_ROW_EDIT_NAME,Edit name,Namen bearbeiten,Modifier le nom,Editar nombre,编辑名称,
WE_ROW_RESET,Reset,Zurücksetzen,Réinitialiser,Restablecer,重置,
WE_ROW_DELETE,Delete,Löschen,Supprimer,Eliminar,删除,
WE_DELETE_CONFIRM_BODY_FMT,"Delete ""%s""?",„%s“ löschen?,Supprimer « %s » ?,"¿Eliminar ""%s""?",删除“%s”？,
WE_DELETE_CONFIRM_HINT,"If this was one of the built-in defaults, you can bring it back later with
Rebuild Missing - anything you added yourself can't be recovered.","Wenn dies einer der integrierten Standardeinträge war, kannst du ihn später mit
„Fehlende wiederherstellen“ zurückholen - selbst hinzugefügte Einträge lassen sich nicht wiederherstellen.","S'il s'agissait d'un élément par défaut intégré, vous pourrez le récupérer plus
tard avec « Restaurer les manquants » - tout ce que vous avez ajouté vous-même ne peut pas être récupéré.","Si era uno de los valores predeterminados integrados, podrás recuperarlo más
tarde con ""Restaurar faltantes"" - lo que hayas añadido tú mismo no se puede recuperar.",如果这是内置的默认项，之后可以通过“恢复缺失项”找回；但你自己添加的内容一旦删除将无法恢复。,
WE_DELETE_CONFIRM_BUTTON,Delete,Löschen,Supprimer,Eliminar,删除,
WE_DELETE_CANCEL_BUTTON,Cancel,Abbrechen,Annuler,Cancelar,取消,
WE_ROW_SAVE,Save,Speichern,Enregistrer,Guardar,保存,
WE_ROW_NAME_REQUIRED_TIP,Enter a name before saving,Vor dem Speichern einen Namen eingeben,Saisissez un nom avant d'enregistrer,Introduce un nombre antes de guardar,保存前请输入名称,
WE_TIP_CANCEL_NEW,Discard this new entry,Diesen neuen Eintrag verwerfen,Abandonner cette nouvelle entrée,Descartar esta nueva entrada,放弃这个新条目,
WE_TIP_FINISH_NAMING,Finish naming the current new entry first,Zuerst den aktuellen neuen Eintrag benennen,Terminez d'abord de nommer la nouvelle entrée en cours,Termina de nombrar la nueva entrada actual primero,请先为当前的新条目命名,
#,addon_options_helpers.cpp - per-event/per-slot Icon combo and chat-code input label,,,,,
WE_ICON_LABEL,Icon,Symbol,Icône,Icono,图标,
WE_TEXT_TO_COPY_LABEL,Text to copy,Zu kopierender Text,Texte à copier,Texto para copiar,待复制文本,
WE_ICON_DOT,Dot,Punkt,Point,Punto,圆点,addon_options_helpers.cpp - icon-combo entry that keeps the plain circle marker instead of a texture.
WE_ICON_MIXED,(mixed),(gemischt),(mixte),(mixto),（混合）,addon_options_helpers.cpp - DrawBulkIconPicker's status entry when selected targets don't share one icon.
WE_ICON_REFRESH,Refresh,Aktualisieren,Actualiser,Actualizar,刷新,addon_options_helpers.cpp - rescans textures/ for the per-event/per-slot Icon combo.
#,addon_options_helpers.cpp - Cyclic Slot color tier picker.,,,,,
WE_TIER_LABEL,Tier,Stufe,Niveau,Nivel,等级,
WE_TIER_PRIMARY,Primary,Primär,Primaire,Primario,主要,
WE_TIER_SECONDARY,Secondary,Sekundär,Secondaire,Secundario,次要,
WE_TIER_TERTIARY,Tertiary,Tertiär,Tertiaire,Terciario,第三级,
#,addon_options_helpers.cpp - tooltips for the shared Basic Event / Cyclic Group row-drawing helpers.,,,,,
WE_TIP_NOTIFY_ICON_LVL0,Click to Subscribe,Klicken zum Abonnieren,Cliquer pour s'abonner,Haz clic para suscribirte,点击进行订阅,
WE_TIP_NOTIFY_ICON_LVL1,"Subscribed - click to also show a toast notification
(right-click the name for more options)","Abonniert - klicken, um zusätzlich eine Benachrichtigung anzuzeigen
(Rechtsklick auf den Namen für weitere Optionen)","Abonné - cliquez pour afficher aussi une notification
(clic droit sur le nom pour plus d'options)","Suscrito: haz clic para mostrar también una notificación
(clic derecho en el nombre para más opciones)",已订阅，点击开启弹窗通知；右键名称查看更多选项,
WE_TIP_NOTIFY_ICON_LVL2,"Subscribed + toast notification - click to also play a sound
(right-click the name for more options)","Abonniert + Benachrichtigung - klicken, um zusätzlich einen Ton abzuspielen
(Rechtsklick auf den Namen für weitere Optionen)","Abonné + notification - cliquez pour aussi jouer un son
(clic droit sur le nom pour plus d'options)","Suscrito + notificación: haz clic para reproducir también un sonido
(clic derecho en el nombre para más opciones)",已订阅+弹窗通知，点击开启音效；右键名称查看更多选项,
WE_TIP_NOTIFY_ICON_LVL3,"Subscribed + toast + sound - click to unsubscribe
(right-click the name for more options)","Abonniert + Benachrichtigung + Ton - klicken zum Deabonnieren
(Rechtsklick auf den Namen für weitere Optionen)","Abonné + notification + son - cliquez pour vous désabonner
(clic droit sur le nom pour plus d'options)","Suscrito + notificación + sonido: haz clic para cancelar la suscripción
(clic derecho en el nombre para más opciones)",已订阅+弹窗+音效，点击取消订阅；右键名称查看更多选项,
WE_TIP_NOTIFY_BTN_LVL0,Unsubscribed,Nicht abonniert,Non abonné,No suscrito,未订阅,
WE_TIP_NOTIFY_BTN_LVL1,Subscribed - silent,Abonniert - stumm,Abonné - silencieux,Suscrito: silencioso,已订阅‑静默模式,
WE_TIP_NOTIFY_BTN_LVL2,Subscribed + toast notification,Abonniert + Benachrichtigung,Abonné + notification,Suscrito + notificación,已订阅+弹窗通知,
WE_TIP_NOTIFY_BTN_LVL3,Subscribed + toast + sound,Abonniert + Benachrichtigung + Ton,Abonné + notification + son,Suscrito + notificación + sonido,已订阅+弹窗+音效,
WE_TIP_DRAG_STOP,Click to stop dragging on the map.,"Klicken, um das Ziehen auf der Karte zu beenden.",Cliquez pour arrêter de déplacer sur la carte.,Haz clic para dejar de arrastrar en el mapa.,点击结束地图上的拖拽。,
WE_TIP_DRAG_START,"Click, then left-click-drag this marker on the map to reposition it.","Klicken, dann diese Markierung auf der Karte per Linksklick-Ziehen neu positionieren.","Cliquez, puis clic gauche-glisser ce marqueur sur la carte pour le repositionner.",Haz clic y luego arrastra este marcador en el mapa (clic izquierdo) para reposicionarlo.,点击，随后左键拖拽标记以调整位置。,
WE_TIP_FIX_TO_SCREEN,"Pin this to a fixed spot on your screen instead of the map, e.g. for a HUD-style timer that stays put regardless of where you are.","Fixiere an einer festen Stelle auf dem Bildschirm statt auf der Karte, z. B. für einen HUD-Timer, der unabhängig vom Standort an Ort und Stelle bleibt.","Épingler ceci à un endroit fixe de l'écran plutôt que sur la carte, par exemple pour un minuteur façon HUD qui reste en place quel que soit votre emplacement.","Fijar esto en un punto fijo de la pantalla en lugar del mapa, por ejemplo para un temporizador tipo HUD que permanece en su sitio sin importar dónde te encuentres.",将其固定在屏幕上的某个位置而非地图上，例如让计时器像HUD一样始终停留在原处，无论你身处何地。,
WE_TIP_AUTO_TRACKED,"Automatically tracked via the GW2 API.
Drops off the Subscriptions bar/window on its own
once claimed today (no need to check it off by hand).","Wird automatisch über die GW2-API erfasst. Verschwindet
von selbst aus Abo-Leiste/-Fenster, sobald es heute
abgeschlossen wurde (kein manuelles Abhaken nötig).","Suivi automatiquement via l'API GW2.
Disparaît de lui-même de la barre/fenêtre d'abonnements une fois
récupéré aujourd'hui (pas besoin de le cocher manuellement).","Se rastrea automáticamente mediante la API de GW2.
Desaparece por sí solo de la barra/ventana de suscripciones una vez
reclamado hoy (no hace falta marcarlo a mano).",由GW2‑API自动追踪。今日完成后自动从订阅栏、订阅窗口消失，无需手动标记。,
WE_TIP_SHOW_ON_MAP,Show on the map overlay (Subscriptions bar/window are unaffected),Auf dem Karten-Overlay anzeigen (Abo-Leiste/-Fenster sind davon nicht betroffen),Afficher sur la superposition de la carte (la barre/fenêtre d'abonnements n'est pas affectée),Mostrar en la superposición del mapa (la barra/ventana de suscripciones no se ve afectada),在地图上显示标记（不影响订阅栏、订阅窗口）,
WE_TIP_SUBSCRIBE_CYCLE,"Subscribe/unsubscribe every occurrence in this cycle at once
(checked only when all of them already are)","Alle Abschnitte dieses Zyklus auf einmal abonnieren/deabonnieren
(nur angehakt, wenn bereits alle abonniert sind)","Abonner/désabonner toutes les occurrences de ce cycle en une fois
(coché uniquement lorsqu'elles le sont déjà toutes)","Suscribir/cancelar la suscripción a todas las ocurrencias de este ciclo a la vez
(marcado solo cuando ya lo están todas)",一键订阅/取消该循环全部时段；勾选状态仅在全部已订阅时生效。,
WE_TIP_SHOW_RING,"Show/hide this entire ring on the map overlay
(no circle drawn at all while unchecked)","Den gesamten Ring auf dem Karten-Overlay ein-/ausblenden
(bei Deaktivierung wird gar kein Kreis gezeichnet)","Afficher/masquer tout cet anneau sur la superposition de la carte
(aucun cercle n'est dessiné du tout lorsque décoché)","Mostrar/ocultar todo este anillo en la superposición del mapa
(no se dibuja ningún círculo mientras esté desmarcado)",在地图叠加层显示/隐藏整套圆环；关闭则完全不绘制圆环。,
WE_TIP_SHOW_OCCURRENCE,Show/hide this occurrence on the map overlay,Diesen Abschnitt auf dem Karten-Overlay ein-/ausblenden,Afficher/masquer cette occurrence sur la superposition de la carte,Mostrar/ocultar esta ocurrencia en la superposición del mapa,在地图叠加层显示/隐藏该事件时段。,
WE_TIP_REPETITION,"How many times the event repeats within the period. Must
divide the period evenly - add a second entry instead if it doesn't.
Example: an event every hour in a 2h period repeats twice.","Wie oft sich das Event innerhalb der Periode wiederholt.
Muss die Periode ganzzahlig teilen - andernfalls stattdessen einen
zweiten Eintrag anlegen. Beispiel: ein stündliches Event in einer
2-Stunden-Periode wiederholt sich zweimal.","Combien de fois l'événement se répète dans la période. Doit diviser
la période de façon exacte - ajoutez plutôt une deuxième entrée si ce n'est pas le cas.
Exemple : un événement toutes les heures dans une période de 2h se répète deux fois.","Cuántas veces se repite el evento dentro del periodo. Debe dividir
el periodo de forma exacta; si no, añade una segunda entrada en su lugar.
Ejemplo: un evento cada hora en un periodo de 2h se repite dos veces.","事件在周期内重复多少次。数值必须可以整除周期；无法整除时请新建条目。
例：2小时周期内每小时触发一次，则重复次数填2。",
#,addon_options_helpers.cpp - widget labels on the Basic Event / Cyclic Group / Cyclic Slot editing rows,,,,,
WE_PERIOD_LABEL,Period,Periode,Période,Periodo,周期,
WE_LOCATION_LABEL,Position,Position,Emplacement,Ubicación,位置,
WE_FIX_TO_SCREEN_LABEL,Fix to screen,Auf Bildschirm fixieren,Fixer à l'écran,Fijar a la pantalla,固定到屏幕,
WE_SCREEN_POS_LABEL,Screen Position,Bildschirmposition,Position à l'écran,Posición en pantalla,屏幕位置,
WE_DURATION_MIN_LABEL,Duration (min),Dauer (Min.),Durée (min),Duración (min),持续时间（分钟）,
WE_VARYING_CHECKBOX,Varying,Variabel,Variable,Variable,可变时间,
WE_TIMES_UTC_LABEL,Times (UTC),Zeiten (UTC),Heures (UTC),Horas (UTC),时间（UTC）,
WE_OFFSET_MIN_LABEL,Offset (min),Versatz (Min.),Décalage (min),Desfase (min),偏移（分钟）,
WE_OFFSET_LABEL,Offset,Versatz,Décalage,Desfase,偏移,
WE_COLOR_LABEL,Color,Farbe,Couleur,Color,颜色,
WE_CUSTOM_COLOR_LABEL,Custom Color,Eigene Farbe,Couleur personnalisée,Color personalizado,自定义颜色,
WE_GROUP_EVENTS_LABEL,Events,Events,Événements,Eventos,事件列表,
WE_REPETITION_LABEL,Repetition,Wiederholung,Répétition,Repetición,重复次数,
WE_TIMES_MIN_INTO_PERIOD_LABEL,Times (min into period),Zeiten (Minuten im Zyklus),Heures (min dans la période),Horas (min dentro del periodo),时间（周期内分钟）,
WE_MINUTES_UNIT_LABEL,min,Min.,min,min,分钟,
#,addon_options.cpp - Event Lists (Basic|Cyclic) section; some rows shared with subscriptions_edit_window.cpp and options_events.cpp.,,,,,
WE_OPT_EVENT_LISTS_HEADER,Event Lists (Basic|Cyclic),Event-Listen (Normal|Zyklisch),Listes d'événements (Normal|Cyclique),Listas de eventos (Normal|Cíclico),事件列表（基础|循环）,
WE_OPT_SEARCH_LABEL,Search,Suche,Rechercher,Buscar,搜索,
WE_OPT_RIGHT_CLICK_HINT,(right-click an entry below for more options),(Rechtsklick auf einen Eintrag unten für weitere Optionen),(clic droit sur une entrée ci-dessous pour plus d'options),(clic derecho en una entrada de abajo para más opciones),（右键下方条目获取更多选项）,
WE_OPT_BASIC_EVENTS,Basic Events,Normale Events,Événements normaux,Eventos normales,基础事件,
WE_OPT_CATEGORIES,Categories,Kategorien,Catégories,Categorías,分类,
WE_OPT_SET_ALL_ICONS,Set all icons,Alle Symbole festlegen,Définir toutes les icônes,Establecer todos los iconos,设置所有图标,
WE_OPT_CYCLIC_EVENTS,Cyclic Events,Zyklische Events,Événements cycliques,Eventos cíclicos,循环事件,
#,options_live.cpp - report button (upper-right corner overlay) and its tooltips/reports window.,,,,,
WE_LIVE_DRAG_BUTTON,Drag to move,Ziehen zum Verschieben,Glisser pour déplacer,Arrastrar para mover,拖拽移动,
WE_LIVE_DRAG_TOOLTIP,"Drag to reposition the live-event report button.
Untick ""Move button"" in options when done.","Ziehen, um den Live-Event-Melde-Button neu zu positionieren.
Deaktiviere ""Button verschieben"" in den Optionen, wenn fertig.","Glissez pour repositionner le bouton de signalement d'événement en direct.
Décochez ""Déplacer le bouton"" dans les options une fois terminé.","Arrastra para reposicionar el botón de reporte de eventos en vivo.
Desmarca ""Mover botón"" en las opciones cuando termines.",拖拽调整实时事件上报按钮位置；完成后关闭设置里的“调整上报按钮位置”。,
WE_LIVE_COOLDOWN_TOOLTIP_FMT,"Reported recently - %llu s before you can report ""%s"" again.
Right-click: just show recent reports.","Kürzlich gemeldet - noch %llu s, bevor du ""%s"" erneut melden kannst.
Rechtsklick: nur die letzten Meldungen anzeigen.","Signalé récemment - encore %llu s avant de pouvoir signaler ""%s"" à nouveau.
Clic droit : afficher uniquement les signalements récents.","Reportado recientemente: %llu s antes de poder reportar ""%s"" de nuevo.
Clic derecho: mostrar solo los reportes recientes.",刚刚上报过，还需%llu秒才可再次上报“%s”。右键：仅查看近期上报。,
WE_LIVE_REPORT_TOOLTIP_FMT,"Click: report ""%s"" as active and show recent reports.
Right-click: just show recent reports, without reporting.","Klicken: ""%s"" als aktiv melden und die letzten Meldungen anzeigen.
Rechtsklick: nur die letzten Meldungen anzeigen, ohne zu melden.","Cliquer : signaler ""%s"" comme actif et afficher les signalements récents.
Clic droit : afficher uniquement les signalements récents, sans signaler.","Clic: reportar ""%s"" como activo y mostrar los reportes recientes.
Clic derecho: mostrar solo los reportes recientes, sin reportar.",点击：上报“%s”正在运行并查看近期上报；右键：仅查看近期上报，不提交上报。,
WE_LIVE_SHARD_LABEL_FMT,Shard: %s,Shard: %s,Shard : %s,Shard: %s,副本分片：%s,
WE_LIVE_REGION_LABEL_FMT,Region: %s,Region: %s,Région : %s,Región: %s,服务器地区：%s,
WE_LIVE_ONLINE_COUNT_FMT,(%d online in %s),(%d online in %s),(%d en ligne sur %s),(%d en línea en %s),（%d人在线，位于%s）,
WE_LIVE_NOT_IN_GAME,Not in game.,Nicht im Spiel.,Pas en jeu.,No estás en el juego.,未进入游戏,
WE_LIVE_EMPTY_SUFFIX,(empty),(leer),(vide),(vacío),（空）,
WE_LIVE_AGO_FMT,%s ago,vor %s,il y a %s,hace %s,%s前,
WE_LIVE_NO_EVENTS_ON_MAP,No live events on this map.,Keine Live-Events auf dieser Karte.,Aucun événement en direct sur cette carte.,No hay eventos en vivo en este mapa.,该地图没有实时事件。,
#,texture_whitener.cpp - Texture Whitener tool (button in the Events tab's shared header + its popup).,,,,,
WE_TEXWHITE_TITLE,Texture Whitener,Textur-Aufheller,Blanchisseur de textures,Blanqueador de texturas,纹理白化工具,
